APPLICATION_NUMBER,TARGET
0,0.06219290296900341
0,0.2880604813254195
1,0.16285671812966135
0,0.08136937051537385
0,0.02481826814371148
1,0.01960862419603458
1,0.053825193341862546
0,0.11481375351906946
0,0.011565813597929516
0,0.05057886623538978
0,0.09100969671147353
0,0.047349259027619335
0,0.04007991322661098
0,0.1234649038898727
1,0.02707225557743766
0,0.08432598617878799
0,0.11118660454328397
1,0.030331376418710265
0,0.04267867912630746
0,0.10782477538626685
0,0.09770806344291393
0,0.010469965735502771
0,0.09805297609556521
0,0.032160431322047676
1,0.0917990559845592
0,0.08029104433693268
0,0.23370058458289797
0,0.030043280637864746
0,0.035206111269008286
1,0.06471503063469033
0,0.021597549707871474
0,0.10077500475020526
0,0.09247787323952933
0,0.06117820789672322
0,0.021361274785003374
0,0.012074143827020621
0,0.0861997549001461
0,0.05486456769294542
0,0.08929691003015684
0,0.052067792416583894
0,0.052808835088379434
0,0.04117344417640328
0,0.08179028861408984
0,0.027483503768065076
0,0.08876374859809069
0,0.12960079328778248
0,0.049135102651576154
0,0.2936737618984271
0,0.0597465087284171
0,0.023059814323026583
0,0.03985630700286669
0,0.06781363283365155
0,0.061714591354886036
0,0.08368505656398381
0,0.08476109062352419
0,0.0820516397057027
1,0.03568255085908932
0,0.050107942897879024
0,0.055662950344728346
0,0.08145088363549766
0,0.03464504381750722
0,0.01438395828992283
0,0.0396836503481932
0,0.03480013352293944
0,0.07442610295259144
0,0.08631740785682739
0,0.09220881433272013
0,0.16228707717241875
0,0.07278617090254742
0,0.07466200026438219
0,0.1152530981843819
0,0.08285905379334227
0,0.03068902903743404
0,0.08969418697657125
0,0.0634014169129426
0,0.03307867147064897
0,0.026302248705163768
0,0.08216423044681376
1,0.022569931441732517
0,0.11519940286227197
0,0.1910734101463762
0,0.09469980964018787
0,0.026595860799043903
0,0.08493965470291502
0,0.3129275020567183
0,0.02566696486054617
0,0.06142206320179796
0,0.041885543625245165
0,0.07801690241569617
1,0.05939694080436325
0,0.32580019690587864
0,0.03853344522330755
0,0.08431592099702162
0,0.1440051126266006
0,0.0959564441142157
0,0.03960184910584151
0,0.08120335360084878
0,0.016333405552078996
0,0.05877313846663028
0,0.014995978889356313
0,0.07025910596973461
0,0.0783582184804941
0,0.08621632368765288
1,0.010669516082329713
0,0.011069134774052374
0,0.04399205205646609
0,0.024991910831728602
0,0.0867037399758995
0,0.029536235882597895
0,0.019556585835880224
0,0.2255067390887188
0,0.1148843728003918
1,0.019855846445129072
0,0.061155661419424245
0,0.02405772785682722
0,0.054232352531253004
0,0.08032207803018823
1,0.08513765612499131
0,0.07934417561001164
0,0.027029981191355655
0,0.039820319699370284
0,0.13206893476182519
0,0.020690239479353084
0,0.018359587054149383
0,0.0651219847354625
0,0.018788509226139453
0,0.025686000295224748
0,0.04255408066236155
0,0.03916580333624066
0,0.0492548619890259
0,0.08217918613307107
0,0.15161321100166983
0,0.5262066427091259
0,0.03887622706731703
0,0.07160519049656824
0,0.30281730587439093
0,0.15150478817092555
0,0.2020644785397859
0,0.018689022314188265
0,0.03372017931149608
0,0.06680910234773349
0,0.09009275098234452
0,0.10955136665805335
0,0.08042941584723987
0,0.19635307448635614
0,0.07246590258538885
0,0.09721647047516734
0,0.08904032403761054
0,0.13343960889628073
1,0.05561779431477294
0,0.06952366670449192
0,0.023779470885740405
1,0.03404656037844074
0,0.05072011202971154
0,0.056146402040052015
1,0.05544104316327925
0,0.08265574933489298
0,0.018456810608807158
0,0.24904860111748311
0,0.018049138916316786
0,0.03795957592039752
0,0.008189479983487163
0,0.025747258220527886
0,0.08101262399291013
1,0.019089031653351834
0,0.08189549042765353
1,0.059287812980446844
0,0.034769048249436364
1,0.04938527495265948
0,0.22022424375556912
0,0.08762078959197803
0,0.12941161678517418
0,0.02837866489978952
0,0.1766974301173398
0,0.13638273588355793
0,0.18583586565499083
0,0.23978525671981016
0,0.03659067063954692
0,0.07279124102442489
0,0.20514070226728717
0,0.01916451986067592
0,0.03464008095682367
0,0.2992989352334219
0,0.18676385988321823
0,0.0314480122380449
0,0.16870914624837396
0,0.025923203803226363
0,0.029917000213332164
0,0.022897640467634553
0,0.02185079546515565
1,0.028924509539274897
0,0.03911836733767693
0,0.014783598362181507
0,0.17293734851202683
0,0.05927829361752486
0,0.014228881381227455
1,0.07352444536018346
1,0.021715595638717132
0,0.07417922598227314
0,0.019018158782714685
0,0.07251738922186492
0,0.03677518972753842
0,0.06136233055580399
0,0.22465008252195462
0,0.20947006671806928
0,0.12778610441815547
0,0.028701314340108315
0,0.06471302871819677
0,0.04356815635359495
0,0.008118392666173365
0,0.08927439718601927
0,0.02706100058081561
0,0.2143059684712572
1,0.08355852353679291
0,0.04942738128441276
0,0.22895438871459758
0,0.024227831051159394
0,0.08421624636758543
0,0.0598788185453464
0,0.07705770072691881
1,0.051108670237623534
0,0.0625679011302937
0,0.04151256753022901
0,0.07416942471520581
0,0.15202775102182323
0,0.04581511732984102
0,0.25846295507626954
1,0.025123433905273412
0,0.0846367906746854
0,0.08415242636307944
0,0.027596786282786057
0,0.1731338497287928
0,0.2773963580823202
0,0.3230595663722703
0,0.051606651997940754
0,0.24076836064039503
0,0.013869394764010423
0,0.02085941847428617
0,0.14750321400899827
0,0.14017577561819294
0,0.11632686916088839
0,0.0616882555180621
0,0.05775681801848589
0,0.08099416138818852
0,0.14360109555147343
0,0.066749434689614
0,0.07727557250984066
0,0.013794631610314073
0,0.1135173750818208
